순,등록번호,제어번호,서명,저자,출판사,발행지,ISBN,KDC,청구기호,상태,확신도,QA 지적,needs_info,메모
1,EM197452,000007281716,1로 서기,임홍택 지음,디자인하우스,서울,9788970414829,331.23,331.23 임95로,ok,high,,,"사서 힌트 325는 경영 분야이나, 본 자료는 사회 초년생의 커리어 설계 및 직장 생활 적응을 다루므로 동일 저자 전작의 분류 체계(331.23)를 따름."
2,EM197453,000007281717,AI가 다 하고 내가 돈 버는 앱 만들기,서희찬 지음,길벗,서울,9791140718870,005.53,005.53 서97가,ok,high,,,
3,EM197454,000007281718,딥 유토피아,저자: 닉 보스트롬 ;역자: 김의석,까치,서울,9788972918967,190,190 보57딥,ok,high,,,
4,EM197455,000007281719,바로바로 제미나이 X 구글 AI,공냥이 지음,골든래빗(주),서울,9791124516157,004.73,004.73 공193바,ok,high,,,
5,EM197456,000007281720,분투 없이 열리는 길은 없다,권태선 지음,책과함께,서울,9791124618004,074.3,074.3 권883분,ok,high,,,"사서 힌트 325(경영)는 방송경영(074.4)을 염두에 둔 것으로 보이나, 본서의 핵심 주제는 공영방송의 독립성과 언론 개혁이므로 074.3(방송정책)이 더 적합함."
6,EM197457,000007281721,읽는 여성의 역사,지은이: 최현미,어크로스,서울,9791167743039,337.0911,337.0911 최94읽,ok,high,,,"저자의 이전 도서(818)는 문학 에세이나, 본 도서는 여성 독서사를 다루는 사회과학(여성문제) 분야이므로 337로 분류함. / 참고문헌 수록"
7,EM197458,000007281722,읽지 않는 사람들,나오미 배런 지음 ;전병근 옮김,웅진지식하우스,파주,9788901300092,029.4,029.4 배294읽,ok,high,,,"사서가 제시한 023(도서관 경영)은 책의 내용과 맞지 않으며, 자관에서 동일 저자의 이전 저작이 029.4로 분류되어 있어 이를 따름."
8,EM197459,000007281723,거절의 기술,바네사 패트릭 지음 ;이주만 옮김,상상스퀘어,성남,9791124248409,325.211,325.211 패887거,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
9,EM197460,000007281724,나는 나다운 공간에서 살고 싶다,지은이: 오승욱 ;본문 일러스트: 말리북,다산초당,파주,9791130677552,100,100 오57나,ok,high,,,
10,EM197461,000007281725,나는 왜 베프가 없을까?,양곤성 글 ;현이지 그림,넥서스Friends,파주,9791124028797,180.4,180.4 양15나,ok,high,,,
11,EM197462,,니체와 함께 지적 대화를,저자 : 양원근,리미트리스,서울,9791198409690,,,error,,,,
12,EM197463,000007281726,딱 ‘한 번 더’ 하면 인생이 달라진다,닉 베어 지음 ;김현정 옮김,비즈니스북스,서울,9791162544877,188,188 베64딱,ok,high,,,
13,EM197464,000007281727,마흔에 읽는 하이데거,지은이: 한상연,김영사,파주,9791173326523,104,104 한52마,ok,high,,,"자관 동일 저자의 '그림으로 보는 하이데거'는 165.84(독일철학)에 분류되었으나, 자관 세목 분포에서 104(강연집, 수필집)가 압도적 다수(165건)이므로 본서의 철학 에세이 및 해설서 성격을 고려하여 104로 분류함."
14,EM197465,000007281728,미식의 교양,하마다 타케후미 지음 ;장민주 옮김,더퀘스트,,9791140719051,593.2,593.2 하32미,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
15,EM197466,000007281729,부자들은 절대 속지 않는 돈의 함정,셰종보 지음 ;유주안 옮김,더페이지,고양,9791194156437,325.211,325.211 셰75부,ok,high,,,
16,EM197467,000007281730,부처의 생각하지 않는 연습,코이케 류노스케 지음 ;양지윤 옮김,포레스트북스,,9791124591031,223.53,223.53 코68부,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
17,EM197468,000007281731,사람 보는 눈이 없는 당신에게,궈즈리 지음 ;이지수 옮김,지니의서재,,9791194620365,186,186 궈77사,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,번역 정보 original_language_ko를 웹 조사 결과에서 보충
18,EM197469,000007281732,사유한다는 것은 아니라고 말하는 것이다,저자 : 자크 데리다;역자 : 강선형;,이학사,서울,9788961474986,166.8,166.8 데298사,ok,high,,,
19,EM197470,000007281733,사춘기를 여행하는 중생의 안내서,지은이: 효록 ;그린이: 이지현,씨드북(주),서울,9791160518269,187.2,187.2 효295사,ok,high,,,
20,EM197471,000007281734,삶은 사유가 아니라 돌파다,레프 톨스토이 지음 ;이경희 옮김,페이지2(page2),서울,9791169852067,197,197 톨57삶,ok,high,,,"자관에서 톨스토이의 문학 작품(소설, 동화)은 892(러시아문학)로 분류되었으나, 본서는 철학 저작(참회록, 인생론 발췌)이므로 197(러시아철학)로 분류함."
21,EM197472,000007281735,삶의 불안을 잠재우는 노자의 말,노무라 소이치로 지음 ;류희 옮김,동양북스(동양문고),서울,9791172102104,150,150 노36삶,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
22,EM197473,000007281736,생각에도 산책이 필요하다,도야마 시게히코 지음 ;지소연 옮김,알에이치코리아(RHK),서울,9788925568904,199.1,199.1 도63생,ok,high,,,자관 동일 저자의 이전 도서가 199.1(일본철학)로 분류되어 있어 일관성을 위해 동일 분류를 적용함.
23,EM197474,000007281737,생각이 많아 부처님께 물었더니,마스노 슌묘 지음 ;백운숙 옮김,21세기북스,파주,9791176610575,224.3,224.3 마57생,ok,high,,,"자관에서는 저자의 일상·마음가짐 관련 도서를 199.1(일본 수필)로 다수 분류하였으나, 본서는 불교 수행과 생활에 관한 내용이 명확하여 224.3으로 분류함."
24,EM197475,000007281738,선과 지브리,스즈키 도시오 지음 ;민경욱 옮김,대원씨아이(단행본),서울,9791142352775,688.6,688.6 스77선,ok,high,,,"번역 정보 original_author_native를 웹 조사 결과에서 보충 / 자관의 동일 저자 도서(688.6, 325.1)와 주제 연속성을 고려하여 688.6으로 분류. / ISBN 부가기호 03100(한국문학)은 내용과 맞지 않아 배제."
25,EM197476,000007281739,선악의 발명,지은이: 하노 자우어 ;옮긴이: 김태한,민음사,서울,9788937449482,172,172 자66선,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충
26,EM197477,000007281740,소원이 이루어지는 작은 호텔,안자나 길 지음 ;강영옥 옮김,비즈니스북스,서울,9791162544853,325.211,325.211,qa_failed,high,저자기호가 비어 있습니다.,저자기호: 저자명 '길'이 한 글자라 둘째 글자가 없습니다. 사서 확인이 필요합니다.,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
27,EM197478,000007281741,시작이 준비를 이긴다,존 프린스 지음 ;정지현 옮김,부키,서울,9791175780316,180.4,180.4 프298시,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,
28,EM197479,000007281742,"신, 인간, 동물, 기계",메건 오기블린 지음 ;최지숙 옮김,갈마바람,서울,9791191128093,180.1,180.1 오18신,ok,high,,,
29,EM197480,000007281743,아무것도 아닐 때 나는 무엇인가?,아브 네리야 지음 ;강희우 옮김,샨티,서울,9791192604435,100,100 네298아,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
30,EM197481,000007281744,어른이 되면 관계가 쉬워질 줄 알았는데,성유미 지음,오아시스,,9791168274709,184,184 성66어,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
31,EM197482,000007281745,오늘도 일하고 사랑하고 성장합니다,김경선 지음,비전비엔피(비전코리아),서울,9788963222493,325.04,325.04 김14오,ok,high,,,
32,EM197483,000007281746,운의 그릇,저자 : 사토 후미아키,다산북스,파주,9791130688770,325.211,325.211 사885운,ok,high,,,
33,EM197484,000007281747,원니스,육현주 지음,행성B(행성비),,9791164713127,180.4,180.4 육94원,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
34,EM197485,000007281748,위험 예찬,안 뒤푸르망텔 지음 ;이세진 옮김,사람in,,9791171012558,184,184 뒤896위,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
35,EM197486,000007281749,일상의 질문에 답하는 짧은 철학책,크리스토프 크바르히 지음 ;장혜경 옮김,갈매나무,서울,9791124226131,100,100 크42일,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충
36,EM197487,000007281750,자신의 불안과 싸우지 말 것,페터 베르 지음 ;장혜경 옮김,갈매나무,서울,9791124226148,100,100 베297자,ok,high,,,
37,EM197488,000007281751,잘되는 사람의 뇌과학,사비나 브레넌 지음 ;유윤한 옮김,동아엠앤비,,9791163633525,325.19,325.19 브294잘,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
38,EM197489,000007281752,종교를 실험하다,조너선 종 지음 ;구형찬 옮김,바다출판사,서울,9791166894244,180,180,qa_failed,high,저자기호가 비어 있습니다.,저자기호: 저자명 '종'이 한 글자라 둘째 글자가 없습니다. 사서 확인이 필요합니다.,번역 정보 original_title를 웹 조사 결과에서 보충
39,EM197490,000007281753,지적인 삶을 위한 열 가지 철학,오카모토 유이치로 지음 ;곽현아 옮김,이든서재,,9791194812234,100,100 오872지,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,"동일 저자의 전작 '니체의 마지막 선물'(165.77)은 특정 철학자(니체)에 대한 연구이나, 본서는 정의·자유·권력 등 철학 전반의 핵심 개념을 다루므로 100 철학으로 분류."
40,EM197491,000007281754,파이터의 마음 근육,김재겸 지음,지식과감성#,서울,9791139232134,180,180 김73파,ok,high,,,
41,EM197492,000007281755,가장 거대한 악은 전쟁,크리스 헤지스 지음 ;김준우 옮김,한국기독교연구소,,9791193786178,341.3,341.3 헤78가,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,"번역 정보 original_title를 웹 조사 결과에서 보충 / 사서가 제시한 분류 힌트 325(경영)는 도서 내용과 무관하여 배제함. 자관 세목 분포의 325번대 역시 이 책과 관련이 없으므로, 같은 저자의 이전 저작이 분류된 340번대(정치학)를 따름."
42,EM197493,000007281756,길 위에서 바울을 보다,저자 : AL미니스트리,훈훈,시흥,9791199912908,230.4,230.4 미198길,ok,high,,,
43,EM197494,000007281757,나는 생각보다 괜찮은 사람,홍성남 지음,가톨릭출판사,서울,9788932119953,238.248,238.248 홍54나,ok,high,,,"사서 힌트(237) 및 자관 세목 분포(237.x)가 제시되었으나, 동일 저자의 선행 저작 및 유사 주제 도서가 자관에서 238.248(가톨릭교회 신앙생활)로 분류되어 있어 일관성을 위해 해당 분류를 따름."
44,EM197495,000007281758,니 혼자 부처 되면 뭐하노,저자 : 월암,담앤북스,음성,9791162012109,228.7,228.7 월62니,ok,high,,,
45,EM197496,000007281759,모두가 자신의 믿음 없음과 싸우고 있다,존 파이퍼 지음 ;윤종석 옮김,두란노,서울,9788953153172,233.5,233.5 파68모,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
46,EM197497,000007281760,불안해서 화를 내고 말았습니다,지은이: 최장현,구름이머무는동안,서울,9791199598102,234.8,234.8 최72불,ok,high,,,
47,EM197498,000007281761,신들은 생각하라고 말한다,키아라 파스토리니 글 ;앙쥐나 부탕 그림 ;권지현 옮김,탐,서울,9788964965542,290.1,290.1 파57신,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,
48,EM197499,,신화의 역사,지은이: 심용환,민음사,서울,9788937449369,,,error,,,,
49,EM197500,000007281762,침묵하는 신과 침묵당하는 사람들,조민아 지음 ;이은진 옮김,비아토르,서울,9791194216476,230,230 조38침,ok,high,,,목차에 참고문헌 포함 / 역자가 명시되어 있으나 원어 정보는 확인되지 않음
50,EM197501,,"10대, AI가 넘볼 수 없는 사람이 되어라",신수정 지음,우리학교,서울,9791167556172,,,error,,,,
51,EM197502,000007281763,"60세부터 90세까지, 현명하게 돈 쓰는 법",저자 : 오에 히데키,스마트비즈니스,서울,9791163431015,327.8,327.8 오64세,ok,high,,,사서가 제시한 분류 힌트 517(건강증진)은 내용과 맞지 않아 채택하지 않음. 동일 저자의 전작 '투자의 속성'이 327.8로 분류되어 있어 주제가 이어지므로 같은 강목을 따름.
52,EM197503,000007281764,가미야마,"시노하라 다다시 지음 ;김경인,박우현,정석 옮김",오늘산책,광주,9791193703151,331.5,331.5 시195가,ok,high,,,
53,EM197504,000007281765,감정 채굴,저자 : 에바 일루즈;역자 : 최지수,돌베개,파주,9791124669020,330.4,330.4 일296감,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충
54,EM197505,000007281766,고스팅,지은이: 도미닉 페트먼 ;옮긴이: 최리외,동녘,파주,9788972972143,300,300 페887고,ok,high,,,
55,EM197506,000007281767,공부나 하라고요? 세상이 이 모양인데?,토끼풀 글 ;방상호 그림,풀빛,서울,9791124589007,332,332 토18공,needs_info,low,,목차,
56,EM197507,000007281768,나는 성장주 투자로 40에 은퇴했다,저자 : 파돌댁,체인지업,울산,9791191378986,327.856,327.856 파25나,ok,high,,,
57,EM197508,000007281769,노력이 무기가 될 때,김현주 지음,청림Life,서울,9791193842775,370.4,370.4 김94노,ok,high,,,
58,EM197509,000007281770,"달러, 코인, 전쟁","고승연,이동현 지음",알에이치코리아(RHK),서울,9788925568522,327.856,327.856 고57달,ok,high,,,
59,EM197510,000007281771,돈 때문에 불안하다는 착각,다우치 마나부 지음 ;김정환 옮김,부키,서울,9791175780262,320,320 다66돈,ok,high,,,"번역 정보 original_author_native를 웹 조사 결과에서 보충 / 동일 저자의 앞선 도서(부자의 마지막 가르침)는 327.04로 분류되었으나, 본 도서는 개인 재테크가 아닌 거시경제와 사회경제학적 관점을 다루므로 320으로 분류함."
60,EM197511,000007281772,리더의 옷은 생각보다 무거웠다,지은이: 이기웅,지식과감성#,서울,9791139233131,300,300 이18리,ok,high,,,
61,EM197512,000007281773,리더의 일은 맡기는 것이 전부다,이바 마사야스 지음 ;정혜원 옮김,비즈니스북스,서울,9791162544914,325.211,325.211 이42리,ok,high,,,"번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충 / 동일 저자의 전작(영업의 일류, 이류, 삼류)은 325.5에 분류되었으나, 본서는 리더십과 업무 위임에 관한 내용이므로 325.211로 분류함."
62,EM197513,000007281774,미국은 왜 전쟁에서 승리하지 못하는가,"도널드 스토커 지음 ;최진용,김영균 옮김",플래닛미디어,,9791124129029,300,300 스885미,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,총서: KODEF 안보총서 129
63,EM197514,,"민주주의를 파괴하는 돈, 거짓말, 신",캐서린 스튜어트 지음 ;안효상 옮김,책과함께,서울,9791124618103,,,error,,,,
64,EM197515,000007281775,부동산 전문 변호사의 경매 유치권 이렇게 쉬웠어?,이시훈 지음,지혜로,남양주,9791187799474,325.211,325.211 이58부,ok,high,,,
65,EM197516,000007281776,사건은 왜 항상 금요일 밤에 일어나는가,남은주 지음,창비,파주,9788936481544,814.7,814.7 남67사,ok,high,,,
66,EM197517,000007281777,"사라지는 돈, 살아남는 돈, 불어나는 돈",김효진 지음,페이지2(page2),서울,9791169852098,327.87,327.87 김95사,ok,high,,,"저자 김효진은 신영증권 매크로 이코노미스트로, 자관에 소장된 다른 김효진(장애, 문학, 번역 등)과는 동명이인임."
67,EM197518,000007281778,사람의 마지막 직업,앨리슨 J. 퓨 지음 ;김재경 옮김,추수밭(청림출판),서울,9791155402672,331.5412,331.5412,qa_failed,high,저자기호가 비어 있습니다.,저자기호: 저자명 '퓨'이 한 글자라 둘째 글자가 없습니다. 사서 확인이 필요합니다.,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
68,EM197519,000007281779,상처를 끄는 존재들,수나우라 테일러 지음 ;송은주 옮김,오월의봄,파주,9791168731837,300,300 테68상,ok,high,,,"자관의 동일 저자 앞선 도서(짐을 끄는 짐승들)는 194.9(윤리학)로 분류되었으나, 본서는 환경문제와 장애학의 교차점을 다루는 사회과학 서적이므로 사서 힌트와 자관 분포에 따라 300(사회학)으로 분류함."
69,EM197520,000007281780,상처받은 아이가 아름답다,이연숙 지음,미다스북스,서울,9791173559006,590.4,590.4 이64상,ok,high,,,
70,EM197521,,생기부를 결정하는 최상위권 중등 탐구 독서,저자 : 박은선;저자 : 배혜림;,메가스터디북스,서울,9791129718396,,,error,,,,
71,EM197522,000007281781,성공의 배신,베른트 크라머 지음 ;이은미 옮김,추수밭(청림출판),서울,9791155402702,330.1,330.1 크292성,needs_info,high,,원서명 / 원어 정보,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충
