순,등록번호,제어번호,서명,저자,출판사,발행지,ISBN,KDC,청구기호,상태,확신도,QA 지적,needs_info,메모
1,EM197452,000007281716,1로 서기,임홍택 지음,디자인하우스,서울,9788970414829,325.211,325.211 임95로,ok,high,,,"앞선 분류 331.23(세대별 사회집단)은 본표의 표목이 '세대'로 자료의 주제인 '직업, 커리어'와 불일치하여 반려됨. 자관 분포와 동일 저자의 타 도서 분류를 참고하여 325.211(개인적 성공)로 재분류함."
2,EM197455,000007281717,바로바로 제미나이 X 구글 AI,공냥이 지음,골든래빗(주),서울,9791124516157,004.73,004.73 공193바,ok,high,,,
3,EM197458,000007281718,읽지 않는 사람들,나오미 배런 지음 ;전병근 옮김,웅진지식하우스,파주,9788901300092,029.3,029.3 배294읽,ok,high,,,"앞선 저자의 도서(다시, 어떻게 읽을 것인가)는 029.4로 분류되었으나, 본 자료는 독서법보다는 읽기의 진화와 뇌과학, 독서심리를 다루므로 029.3으로 분류함."
4,EM197462,000007281719,니체와 함께 지적 대화를,저자 : 양원근,리미트리스,서울,9791198409690,165.6,165.6 양66니,ok,high,,,
5,EM197473,000007281720,생각에도 산책이 필요하다,도야마 시게히코 지음 ;지소연 옮김,알에이치코리아(RHK),서울,9788925568904,199.1,199.1 도63생,ok,high,,,"앞선 처리에서 '일본철학'이라는 표목으로 199.1을 적용하여 반려되었으나, 본표 발췌 확인 결과 199.1의 표목은 '인생훈'이며 본 자료의 주제와 정확히 부합함. 자관에서도 동일 저자의 인생 조언 서적을 199.1에 분류하므로 동일 강목을 유지함."
6,EM197474,000007281721,생각이 많아 부처님께 물었더니,마스노 슌묘 지음 ;백운숙 옮김,21세기북스,파주,9791176610575,199.1,199.1 마57생,ok,high,,,
7,EM197496,000007281722,모두가 자신의 믿음 없음과 싸우고 있다,존 파이퍼 지음 ;윤종석 옮김,두란노,서울,9788953153172,234.3,234.3 파68모,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
8,EM197497,000007281723,불안해서 화를 내고 말았습니다,지은이: 최장현,구름이머무는동안,서울,9791199598102,234.8,234.8 최72불,ok,high,,,
9,EM197514,000007281724,"민주주의를 파괴하는 돈, 거짓말, 신",캐서린 스튜어트 지음 ;안효상 옮김,책과함께,서울,9791124618103,340.942,340.942 스886민,ok,high,,,번역 정보 original_author_native를 웹 조사 결과에서 보충
10,EM197521,000007281725,생기부를 결정하는 최상위권 중등 탐구 독서,저자 : 박은선;저자 : 배혜림;,메가스터디북스,서울,9791129718396,373.1,373.1 박67생,ok,high,,,
11,EM197531,000007281726,이순신의 위대한 경영,윤동한 지음,가디언,,9791167782038,325.24,325.24 윤25이,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
12,EM197536,000007281727,지랄맞은 사춘기를 죽지 않고 통과하는 일,김선미 지음,온포인트,서울,9791199629714,598.125,598.125 김54지,ok,high,,,"자관 세목 분포 미조회. 자관에 동일 저자의 육아서(598.1)가 다수 소장되어 있으나, 본 자료가 구체적으로 '사춘기(청소년)' 양육을 다루고 있으므로 본표의 세목인 598.125로 분류함."
13,EM197561,000007281728,3~6세 영어가 모국어처럼 스며드는 시간,이설희 지음,서사원,서울,9791168225961,378.9,378.9 이54세,ok,high,,,
14,EM197563,000007281729,가장 똑똑한 AI 활용 공부 가이드,홍지연 지음,카시오페아,서울,9791168274686,373.33,373.33 홍78가,ok,high,,,"앞선 분류 373.33은 자료 주제에 부합하나, 주제명을 본표의 '정보기술 활용교육'이 아닌 '중등교육의 교육방법, 교수법' 등으로 잘못 기재하여 반려됨. 본표에 따라 주제명을 '정보기술 활용교육'으로 바로잡아 동일 번호로 재분류함."
15,EM197570,000007281730,몰입이라는 아이의 세계,김소연 지음,페이지2(page2),서울,9791169852074,598.1,598.1 김55몰,ok,high,,,"앞선 처리에서 598.1로 분류되었으나 주제명표목 '가정교육'이 본표의 '육아 일반'과 불일치하여 반려됨. 자료의 주제가 자녀양육 및 지도서이므로 598.1이 적절하며, 표목만 '자녀양육'으로 수정하여 적용함."
16,EM197586,000007281731,집밥력,지은이: 홀썸모먼트 ;사진: 한정수,세미콜론,서울,9791124336557,594.5,594.5 홀54집,ok,high,,,"앞선 분류 594.5는 분류번호로서 타당하나, 주제명표목 '한국조리법'이 본표 '요리'와 불일치하여 반려됨. 본표에 따라 올바른 표목 '요리'를 적용하여 594.5로 유지함."
17,EM197598,000007281732,실패한 이미지,에른스트 판알펀 지음 ;김남시 옮김,안그라픽스,파주,9791168234055,660.1,660.1 판62실,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
18,EM197599,000007281733,옛 그림 속의 우리 나무,박상진 지음,눌와,서울,9791189074920,600.4,600.4 박52옛,ok,high,,,
19,EM197605,000007281734,"진짜 예술, 가짜 예술",장 프랑수아 마르텔 지음 ;김기상 옮김,서스테인,,9791193388396,112.7,112.7 마297진,qa_failed,low,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
20,EM197616,000007281735,64,지은이: 요코야마 히데오 ;옮긴이: 최고은,비채,파주,9791173326691,833.6,833.6,qa_failed,high,저자기호가 비어 있습니다.,저자기호: 본표제 '64'에 한글 음절이 없어 작품기호를 정할 수 없습니다.,"앞선 반려 사유에 포함된 '워커 1945-1989'는 타 자료의 오류가 혼입된 것으로 판단되며, 본 자료는 요코야마 히데오의 현대 일본 소설이므로 833.6(현대)이 정확함."
21,EM197625,000007281736,"굿바이, 재버워크",지은이: 이사카 고타로 ;옮긴이: 민경욱,인플루엔셜(주),서울,9791168343955,833.6,833.6 이52굿,ok,high,,,사서 제시 힌트 893은 아프리카 제문학으로 본 자료(일본 문학)와 무관하여 배제함. / 앞선 분류 833.6의 표목 오류(20세기)를 KDC6 본표의 '현대'로 수정하여 적용함.
22,EM197636,000007281737,날갯짓 연습,지은이: 윤슬빛 ;그린이: 한요,창비,파주,9788936431747,813.7,813.7 윤57날,ok,high,,,"동일 저자의 앞선 자료 '우리는 매일 안녕 안녕'(2025)은 자관에서 813.8로 분류되었으나, 본표 발췌에서 813.8의 표목은 '동화우화를 포함한다'로 확인됨. 이 자료는 청소년기의 정체성과 진로를 다루는 현실 소설로 동화·우화에 해당하지 않으므로 813.7로 재분류함."
23,EM197637,000007281738,남다른 식구,지은이: 조혜린,자음과모음,파주,9788954474863,813.7,813.7 조94남,ok,high,,,
24,EM197646,000007281739,루프 안의 너,조강우 지음,북스토리,고양,9791155644362,813.7,813.7 조12루,ok,high,,,
25,EM197698,000007281740,유심인,정윈만 지음 ;김소희 옮김,빈페이지,서울,9791193873274,823.7,823.7 정66유,ok,high,,,번역 정보 original_author_native를 웹 조사 결과에서 보충
26,EM197702,000007281741,일리아스 좋아하세요?,"하길,이준석 지음",창비,파주,9788936481285,814.7,814.7 하18일,ok,high,,,
27,EM197705,000007281742,장안의 여지,지은이: 마보융 ;옮긴이: 임주영,문학동네,파주,9791141616748,823.7,823.7 마45장,ok,high,,,
28,EM197721,000007281743,코끼리를 목욕시키는 여자,지은이: 화바이룽 ;옮긴이: 김소희,서사원,서울,9791168225909,823.7,823.7 화42코,ok,high,,,
29,EM197727,000007281744,하터,지은이: 이지은,열림원,파주,9791170403784,813.7,813.7 이78하,ok,high,,,"자관에서 동일 저자의 그림책과 동화가 813.8에 다수 분포하나, 본서는 청소년 장편소설이므로 동화우화를 분류하는 813.8이 아닌 21세기 소설을 분류하는 813.7로 분류함."
30,EM197732,000007281745,"다시, 마르크스를 읽어야 할 때",류대영 지음,푸른역사,서울,9791156123439,340.245,340.245 류23다,ok,high,,,앞선 분류 187.2(정신감응술)는 '유물론'을 오인한 것으로 보임. 본표 발췌의 901항에서 '사적유물론 → 340.245'로 지시하고 있어 해당 번호로 재분류함.
31,EM197739,000007281746,왕과 책사,저자 : 김준태,믹스커피,,9791170437604,911,911 김76왕,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,"앞선 분류 911.05(조선시대)는 목차상 고구려·신라, 고려 시대를 포함하지 못하여 반려됨. 전 시대를 아우르므로 911(한국)로 재분류."
