등록번호,서명,앞선KDC,권고KDC,재분류KDC,청구기호,반려유형,워커상태,확신도,판정,지적,분류경로
EM197452,1로 서기,,,325.211,325.211 임95일,,ok,high,통과,,"300 사회과학 → 320 경영, 경제 → 325 경영 → 325.2 조직관리 → 325.211 개인적 성공"
EM197453,AI가 다 하고 내가 돈 버는 앱 만들기,005.53,005.58,005.1,005.1 서97에,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(005.1, 본표 '프로그램 및 프로그래밍언어 알고리즘을') / [INFO] 권고(005.58)와 다른 번호를 선택 — 근거 확인 필요","0 컴퓨터과학 → 005 프로그래밍, 프로그램, 데이터 → 005.1 표목 미확인"
EM197454,딥 유토피아,,,190,190 보57딥,,ok,high,WARN,[WARN] 강목 190까지만 부여 — 세목 검토 필요,"1 철학 → 190 윤리학, 도덕철학"
EM197455,바로바로 제미나이 X 구글 AI,,,004.73,004.73 공193바,,ok,high,통과,,0 총류 → 004 컴퓨터과학 → 004.73 인공지능
EM197456,분투 없이 열리는 길은 없다,074.3,070.13 또는 070.19,070.4,070.4 권883분,표목 불일치,ok,high,INFO,[INFO] 권고(070.13 또는 070.19)와 다른 번호를 선택 — 근거 확인 필요,"0 총류 → 070 신문, 저널리즘 → 070.4 저널리즘"
EM197457,읽는 여성의 역사,337.0911,029.4 또는 337.09,337,337 최94읽,세목 부적합,ok,high,INFO,[INFO] 권고(029.4 또는 337.09)와 다른 번호를 선택 — 근거 확인 필요,3 사회과학 → 33 사회학 → 337 여성문제
EM197458,읽지 않는 사람들,,,029.3,029.3 배294읽,,ok,high,통과,,0 교육 → 02 도서관 및 정보과학 → 029 독서 및 정보매체의 이용 → 029.3 독서과정
EM197459,거절의 기술,325.211,189.2 또는 194.2,189.2,189.2 패887거,세목 부적합,ok,high,통과,,1 철학 → 180 심리학 → 189 응용심리학 일반 → 189.2 개인 간의 관계
EM197460,나는 나다운 공간에서 살고 싶다,100,814.7,814.7,814.7 오57나,세목 누락,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197461,나는 왜 베프가 없을까?,180.4,189.2 또는 183.3,189,189 양15나,미존재 세목,needs_info,low,INFO,[INFO] 권고(189.2 또는 183.3)와 다른 번호를 선택 — 근거 확인 필요,1 철학 → 180 심리학 → 189 응용심리학 일반
EM197462,니체와 함께 지적 대화를,,,165.6,165.6 양66니,,ok,high,통과,,"100 철학 → 160 서양철학 → 165 독일, 오스트리아철학 → 165.6 체계적 철학자"
EM197463,딱 ‘한 번 더’ 하면 인생이 달라진다,188,199.1,199.1,199.1 베64딱,표목 불일치,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '인생훈' ≠ 워커 '처세술' (번호는 권고와 일치),"1 철학 → 190 윤리학, 도덕철학 → 199 도덕훈, 교훈 → 199.1 처세술"
EM197464,마흔에 읽는 하이데거,104,165.84,165.84,165.84 한52마,세목 부적합,ok,high,통과,,"1 철학 → 160 서양철학 → 165 독일, 오스트리아철학 → 165.8 현상학 및 실재주의 → 165.84 하이데거"
EM197465,미식의 교양,593.2,594.019,594.019,594.019 하32미,표목 불일치,needs_info,high,WARN,[WARN] 표목 인용 미준수: 본표 '미식과 식도락맛집탐방을' ≠ 워커 '미식·식도락' (번호는 권고와 일치),5 기술과학 → 59 가정과학 → 594 식품과 음료 → 594.019 미식·식도락
EM197466,부자들은 절대 속지 않는 돈의 함정,325.211,327.04,327.04,327.04 셰75부,세목 부적합,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 327 '금융 재정',3 사회과학 → 32 경제학 → 327 금융 → 327.04 개인금융
EM197467,부처의 생각하지 않는 연습,223.53,224.3,224.3,224.3 코69부,표목 불일치,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '신앙록, 명상록종교적 차원의 신앙록, 명상록, 수양서' ≠ 워커 '불교수양' (번호는 권고와 일치)","200 종교 → 220 불교 → 224 종교신앙, 신앙록, 신앙생활 → 224.3 불교수양"
EM197468,사람 보는 눈이 없는 당신에게,186,189.2,189.2,189.2 궈77사,표목 불일치,ok,high,통과,,1 철학 → 180 심리학 → 189 응용심리학 일반 → 189.2 개인 간의 관계
EM197469,사유한다는 것은 아니라고 말하는 것이다,,,166.8,166.8 데298사,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 166 '프랑스, 네덜란드철학'","100 철학 → 160 서양철학, 사상 → 166 현대철학 → 166.8 해체주의"
EM197470,사춘기를 여행하는 중생의 안내서,187.2,199.5 또는 224.3,199.5,199.5 효295사,표목 불일치,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '청년훈' ≠ 워커 '불교 도덕훈, 교훈' (번호는 권고와 일치)","1 철학 → 190 윤리학, 도덕철학 → 199 도덕훈, 교훈 → 199.5 불교 도덕훈, 교훈"
EM197471,삶은 사유가 아니라 돌파다,197,169.3,169.3,169.3 톨57삶,표목 불일치,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 169 '러시아철학',100 철학 → 169 러시아철학 → 169.3 19·20세기
EM197472,삶의 불안을 잠재우는 노자의 말,150,152.222,152.222,152.222 노36삶,세목 누락,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '노자' ≠ 워커 '도덕경' (번호는 권고와 일치),"150 동양철학, 동양사상 → 152 중국 철학, 사상 → 152.22 노자 → 152.222 도덕경"
EM197473,생각에도 산책이 필요하다,,,199.1,199.1 도63생,,ok,high,통과,,"199 도덕훈, 교훈 → 199.1 인생훈"
EM197474,생각이 많아 부처님께 물었더니,,,199.1,199.1 마57생,,ok,high,FAIL,"[FAIL] 표목 불일치: 본표 '인생훈' ≠ 워커 '생활철학, 처세술'","1 철학 → 19 윤리학, 도덕훈, 교훈 → 199 도덕훈, 교훈 → 199.1 생활철학, 처세술"
EM197475,선과 지브리,,,688.6,688.6 스77선,,ok,high,통과,,6 예술 → 680 영화 → 688.6
EM197476,선악의 발명,172,191.16 또는 190.109,190.109,190.109 자66선,표목 불일치,ok,high,통과,,"100 철학 → 190 윤리학, 도덕철학 → 190.109 윤리학사, 윤리사상사"
EM197477,소원이 이루어지는 작은 호텔,325.211,853 또는 199.1,199,199 길62소,세목 부적합,ok,high,INFO,[INFO] 권고(853 또는 199.1)와 다른 번호를 선택 — 근거 확인 필요,"1 철학 → 199 도덕훈, 교훈"
EM197478,시작이 준비를 이긴다,180.4,199.1,199,199 프298시,미존재 세목,ok,high,INFO,[INFO] 권고(199.1)와 다른 번호를 선택 — 근거 확인 필요,"1 철학 → 19 윤리학, 도덕철학 → 199 도덕훈, 교훈"
EM197479,"신, 인간, 동물, 기계",180.1,500.1 또는 165,180,180 오18신,세목 부적합,needs_info,low,WARN,[WARN] 강목 180까지만 부여 — 세목 검토 필요 / [INFO] 권고(500.1 또는 165)와 다른 번호를 선택 — 근거 확인 필요,100 철학 → 180 심리학
EM197480,아무것도 아닐 때 나는 무엇인가?,100,199.1 또는 290.1,199.1,199.1 네298아,세목 누락,ok,high,통과,,"1 철학 → 199 도덕훈, 교훈 → 199.1 인생훈"
EM197481,어른이 되면 관계가 쉬워질 줄 알았는데,184,189.2,189.2,189.2 성66어,세목 부적합,needs_info,high,통과,,100 철학 → 180 심리학 → 189 응용심리학 일반 → 189.2 개인 간의 관계
EM197482,오늘도 일하고 사랑하고 성장합니다,,,325.04,325.04 김14오,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 325 '경영경영학 일반을',3 사회과학 → 32 경제학 → 325 경영 → 325.04 경영과 사회
EM197483,운의 그릇,325.211,199.1,199.1,199.1 사885운,세목 부적합,ok,high,통과,,"1 철학 → 190 윤리학, 도덕철학 → 199 도덕훈, 교훈 → 199.1 인생훈"
EM197484,원니스,180.4,189,189,189 육94원,미존재 세목,needs_info,high,통과,,1 철학 → 180 심리학 → 189 응용심리학
EM197485,위험 예찬,184,166 또는 864,166.8,166.8 뒤896위,세목 부적합,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 166 '프랑스, 네덜란드철학' / [INFO] 권고(166 또는 864)와 다른 번호를 선택 — 근거 확인 필요","100 철학 → 160 유럽철학 → 166 프랑스, 네덜란드철학 → 166.8 (자관 분포 확인)"
EM197486,일상의 질문에 답하는 짧은 철학책,100,100 유지 가능,100,100 크42일,세목 누락,ok,high,FAIL,[FAIL] 대분류 100 — 서가 배열 불가 / [WARN] 앞선 분류 100 그대로 — 재작업으로 바뀌지 않음,100 철학
EM197487,자신의 불안과 싸우지 말 것,100,185.3 또는 224.3,185.3,185.3 베297자,세목 부적합,ok,high,통과,,100 철학 → 180 심리학 → 185 생리심리학 → 185.3 정신위생
EM197488,잘되는 사람의 뇌과학,325.19,181 또는 189,189,189 브294잘,표목 불일치,ok,high,통과,,180 심리학 → 189 응용심리학 일반
EM197489,종교를 실험하다,180,185 또는 201.1,201,201 종75종,세목 누락,needs_info,low,INFO,[INFO] 권고(185 또는 201.1)와 다른 번호를 선택 — 근거 확인 필요,200 종교 → 201 종교철학 및 종교사상
EM197490,지적인 삶을 위한 열 가지 철학,100,100 유지 가능,100,100 오872지,세목 누락,needs_info,high,FAIL,[FAIL] 대분류 100 — 서가 배열 불가 / [WARN] 앞선 분류 100 그대로 — 재작업으로 바뀌지 않음,100 철학
EM197491,파이터의 마음 근육,180,692.01,692.8,692.8 김73파,세목 누락,ok,high,INFO,[INFO] 권고(692.01)와 다른 번호를 선택 — 근거 확인 필요,6 기술과학 → 690 스포츠 → 692 체육학. 스포츠 → 692.8 체육심리학
EM197492,가장 거대한 악은 전쟁,341.3,349,349,349 헤78가,표목 불일치,needs_info,high,통과,,"3 사회과학 → 340 정치학 → 349 외교, 국제관계"
