출판사,해당 건수,등록번호,서명,판권지 확인 발행지(사서 기입)
모티브,2,EM197564 EM197678,갱선생의 기적의 다이어트 / 쓰는 동안 조금씩 어른이 되었다,
생각의길,2,EM197741 EM197742,유럽 도시 기행 2 / 유럽 도시 기행 3,
행성B(행성비),2,EM197484 EM197615,원니스 / 짧은 문장의 힘,
귤프레스,1,EM197655,반장으로서의 책임과 의무 7,
나이스에듀,1,EM197591,태교의 과학,
날(도서출판),1,EM197748,처음 만나는 지경학,
느린서재,1,EM197725,평화로운 우리의 비건 식탁에 놀러 오세요,
달먹는토끼,1,EM197642,다섯 평이면 충분해,
더퀘스트,1,EM197465,미식의 교양,
리프,1,EM197682,애니가 남긴 것,
메이애플,1,EM197608,로지쌤의 영어 그림책 정공법,
멘토스,1,EM197610,요만큼만 알아도 미드가 엄청 재밌어진다!,
모과나무,1,EM197577,어서 오세요 희망약국입니다,
모두의도감,1,EM197603,일본 문구 대백과,
믹스커피,1,EM197739,왕과 책사,
빚은책들,1,EM197728,한눈에 읽는 오디세이,
성림원북스,1,EM197550,생각하는 청소년을 위한 생화학의 역사,
소소의책,1,EM197750,필름과 전쟁,
스위밍꿀,1,EM197724,펀치 : 맞을수록 강해지는 만화 편집자 이야기,
싱긋,1,EM197722,코헨을 듣는 시간,
알레,1,EM197524,센스 있는 생각에는 틀이 있다,
앤의서재,1,EM197601,음악가의 일,
에트르,1,EM197670,세부 속으로,
오아시스,1,EM197481,어른이 되면 관계가 쉬워질 줄 알았는데,
온더페이지,1,EM197735,살면서 딱 한 번 읽는 인물 한국사,
와이즈베리,1,EM197554,아인슈타인이 알았더라면,
용감한까치,1,EM197588,추추의 집밥 클래스,
윌마,1,EM197695,우리는 가장 밝은 밤에 헤어졌다,
이든서재,1,EM197490,지적인 삶을 위한 열 가지 철학,
저녁달,1,EM197532,정프로의 한없이 가벼운 경제 상식,
주니어태학,1,EM197587,청소년 정신 건강에 관한 모든 질문,
책깃,1,EM197689,여름,
플래닛미디어,1,EM197513,미국은 왜 전쟁에서 승리하지 못하는가,
한국기독교연구소,1,EM197492,가장 거대한 악은 전쟁,
황소자리(Taurus),1,EM197609,세상에서 가장 순수하고 우수한 말,
