순,등록번호,제어번호,서명,저자,출판사,발행지,ISBN,KDC,청구기호,상태,확신도,QA 지적,needs_info,메모
1,EM197452,000007281716,1로 서기,임홍택 지음,디자인하우스,서울,9788970414829,325.211,325.211 임95일,ok,high,,,"앞선 분류 331.23(세대별 사회집단)은 본표의 표목이 '세대'로 자료의 주제인 '직업, 커리어'와 불일치하여 반려됨. 자관 분포와 동일 저자의 타 도서 분류를 참고하여 325.211(개인적 성공)로 재분류함."
2,EM197453,000007281717,AI가 다 하고 내가 돈 버는 앱 만들기,서희찬 지음,길벗,서울,9791140718870,005.1,005.1 서97에,needs_info,low,,,
3,EM197454,000007281718,딥 유토피아,저자: 닉 보스트롬 ;역자: 김의석,까치,서울,9788972918967,190,190 보57딥,ok,high,,,
4,EM197455,000007281719,바로바로 제미나이 X 구글 AI,공냥이 지음,골든래빗(주),서울,9791124516157,004.73,004.73 공193바,ok,high,,,
5,EM197456,000007281720,분투 없이 열리는 길은 없다,권태선 지음,책과함께,서울,9791124618004,070.4,070.4 권883분,ok,high,,,"앞선 분류 074.3은 북아메리카 지역구분으로 본 자료와 무관하여 반려됨. 하네스 권고 070.13과 070.19는 신문 중심의 표목으로 공영방송과 언론개혁을 다루는 본 자료에 부적합하여 본표의 070.4(저널리즘)로 분류함. 동일 저자의 전작 '진실에 복무하다'는 070.99로 분류되었으나, 본 자료는 저널리즘 전반과 공영방송의 제도적 독립성을 다루므로 자관 다수 분포인 070.4를 따름."
6,EM197457,000007281721,읽는 여성의 역사,지은이: 최현미,어크로스,서울,9791167743039,337,337 최94읽,ok,high,,,
7,EM197458,000007281722,읽지 않는 사람들,나오미 배런 지음 ;전병근 옮김,웅진지식하우스,파주,9788901300092,029.3,029.3 배294읽,ok,high,,,"앞선 저자의 도서(다시, 어떻게 읽을 것인가)는 029.4로 분류되었으나, 본 자료는 독서법보다는 읽기의 진화와 뇌과학, 독서심리를 다루므로 029.3으로 분류함."
8,EM197459,000007281723,거절의 기술,바네사 패트릭 지음 ;이주만 옮김,상상스퀘어,성남,9791124248409,189.2,189.2 패887거,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
9,EM197460,000007281724,나는 나다운 공간에서 살고 싶다,지은이: 오승욱 ;본문 일러스트: 말리북,다산초당,파주,9791130677552,814.7,814.7 오57나,ok,high,,,
10,EM197461,000007281725,나는 왜 베프가 없을까?,양곤성 글 ;현이지 그림,넥서스Friends,파주,9791124028797,189,189 양15나,needs_info,low,,국립중앙도서관 주제명표목표 확인 필요 / 189.2 세목 본표 확인 필요,
11,EM197462,000007281726,니체와 함께 지적 대화를,저자 : 양원근,리미트리스,서울,9791198409690,165.6,165.6 양66니,ok,high,,,
