순,등록번호,제어번호,서명,저자,출판사,발행지,ISBN,KDC,청구기호,상태,확신도,QA 지적,needs_info,메모
1,EM197457,000007281716,읽는 여성의 역사,지은이: 최현미,어크로스,서울,9791167743039,337,337 최94읽,ok,high,,,
2,EM197459,000007281717,거절의 기술,바네사 패트릭 지음 ;이주만 옮김,상상스퀘어,성남,9791124248409,189.2,189.2 패887거,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
3,EM197464,000007281718,마흔에 읽는 하이데거,지은이: 한상연,김영사,파주,9791173326523,165.84,165.84 한52마,ok,high,,,앞선 분류 104는 철학 표준구분 강연집·수필집에 해당하여 반려됨. 특정 철학자 해설서는 165.84로 분류함이 타당함.
4,EM197480,000007281719,아무것도 아닐 때 나는 무엇인가?,아브 네리야 지음 ;강희우 옮김,샨티,서울,9791192604435,199.1,199.1 네298아,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
5,EM197481,000007281720,어른이 되면 관계가 쉬워질 줄 알았는데,성유미 지음,오아시스,,9791168274709,189.2,189.2 성66어,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
6,EM197483,000007281721,운의 그릇,저자 : 사토 후미아키,다산북스,파주,9791130688770,199.1,199.1 사885운,ok,high,,,
7,EM197487,000007281722,자신의 불안과 싸우지 말 것,페터 베르 지음 ;장혜경 옮김,갈매나무,서울,9791124226148,185.3,185.3 베297자,ok,high,,,
8,EM197491,000007281723,파이터의 마음 근육,김재겸 지음,지식과감성#,서울,9791139232134,692.8,692.8 김73파,ok,high,,,
9,EM197504,000007281724,감정 채굴,저자 : 에바 일루즈;역자 : 최지수,돌베개,파주,9791124669020,331.5,331.5 일296감,needs_info,low,,,"번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충 / 자관 분포에 따라 동일 저자의 앞선 저작(감정 자본주의)과 동일한 331.5로 분류하였으나, 제공된 본표 발췌에 해당 세목의 표목이 없어 표목 미확인 처리 및 confidence를 low로 설정함."
10,EM197505,000007281725,고스팅,지은이: 도미닉 페트먼 ;옮긴이: 최리외,동녘,파주,9788972972143,331.1,331.1 페887고,ok,high,,,
11,EM197508,000007281726,노력이 무기가 될 때,김현주 지음,청림Life,서울,9791193842775,378.9,378.9 김94노,ok,high,,,
12,EM197509,000007281727,"달러, 코인, 전쟁","고승연,이동현 지음",알에이치코리아(RHK),서울,9788925568522,327.2,327.2 고57달,ok,high,,,
13,EM197511,000007281728,리더의 옷은 생각보다 무거웠다,지은이: 이기웅,지식과감성#,서울,9791139233131,325.24,325.24 이18리,ok,high,,,"저자 이기웅은 자관에서 일본 문학 및 아동 도서 번역가로 다수 활동했으나, 본서는 저자가 직접 쓴 리더십 에세이이므로 325.24로 분류."
14,EM197519,000007281729,상처를 끄는 존재들,수나우라 테일러 지음 ;송은주 옮김,오월의봄,파주,9791168731837,301,301 테68상,ok,high,,,"하네스 권고 338.9와 539.98은 KDC6 본표에 존재하지 않는 번호이므로 기각함. 539는 환경공학으로 본서의 인문사회과학적 비판이론 성격과 맞지 않음. 자관 분포는 338.3에 치우쳐 있으나, 338.3은 '장애인 복지'를 의미하여 본서의 '장애이론과 환경정의' 주제와 맞지 않으므로 본표에 근거한 301 사회사상으로 분류함."
15,EM197522,000007281730,성공의 배신,베른트 크라머 지음 ;이은미 옮김,추수밭(청림출판),서울,9791155402702,331.5,331.5 크292성,needs_info,low,,,
16,EM197523,000007281731,세계화는 어떻게 실패했는가,데이비드 J. 린치 지음 ;이혜진 옮김,21세기북스,파주,9791176610520,322.8,322.8 린86세,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충
17,EM197524,000007281732,센스 있는 생각에는 틀이 있다,"사토 마키,아사미 아야카 지음 ;조사연 옮김",알레,,9791141186784,325.571,325.571 사885센,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
18,EM197529,000007281733,유대인 엄마의 경제 교육,사라 이마스 지음 ;임보미 옮김,빅마우스,파주,9791192556611,378.9,378.9 이32유,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,
19,EM197547,000007281734,나 생명과학 좋아하나 봐,저자 : 이고은;삽화가(그림작가) : 신병근,세번째행성,,9791192585918,470,470 이15나,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,대상 자료실이 '성인'으로 표기되어 있으나 부가기호(44400)와 내용상 청소년 자료로 보임. 자료실 배치 확인 필요,"하네스 권고 번호(470.7)는 자관 세목 분포에 없어 배제하고, 동일 저자의 유사 주제 도서가 분류된 470을 따름."
20,EM197553,000007281735,식물은 어떻게 느끼고 행동하고 기억하는가,곽준명 지음,현대지성,서울,9791139733266,481.1,481.1 곽76식,ok,high,,,
21,EM197560,000007281736,(좋든 싫든) 성수론,"권혜인,김세훈,김정혜,김유빈,김현수,소정호,양지슬,유선진,이다은,이민수,한지수 지음",책사람집,,9791194140160,331.47,331.47 권94좋,qa_failed,low,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
22,EM197566,000007281737,기질 양육의 뇌과학,"릴리아나 렝구아,마리아 가르스틴 지음 ;박정은 옮김",현대지성,서울,9791139732238,598.1,598.1 렝16기,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,
23,EM197571,000007281738,몸으로 마음을 다스리는 셀프 리셋,지은이: 오누마 다쓰야 ;옮긴이: 안선주,바디앤마인드,성남,9788957695128,185.3,185.3 오196몸,ok,high,,,
24,EM197574,000007281739,스포츠의학으로 읽는 목과 어깨,이동진 지음,현익출판,서울,9791194793700,517.89,517.89 이25스,ok,high,,,"동일 저자 이동진의 기존 자료(채식주의가 병을 부른다 등)는 594(식생활) 등에 분류되었으나, 본 자료는 스포츠의학 및 재활에 관한 전문 서적이므로 주제에 따라 517.89로 분류함."
25,EM197579,000007281740,우아한 노화,김수연 지음,북스고,서울,9791167601322,517.3,517.3 김56우,ok,high,,,"하네스가 517.2 또는 511.4를 권고했으나, 노화 및 웰에이징은 517.3(개인위생)에 분류하는 것이 타당하여 앞선 분류 517.3을 유지함."
26,EM197584,000007281741,제시언니의 갱년기 수업,지은이: 제시언니,힘찬북스(HCbooks),고양,9791190227681,517.36,517.36 제58제,needs_info,low,,,
27,EM197585,000007281742,중년을 살리는 하루 4분 운동,이상대 지음,북스고,서울,9791167601339,517.32,517.32 이52중,ok,high,,,
28,EM197589,000007281743,콩팥을 지키려면 음식부터 바꾸셔야겠습니다,류동열 지음,북랩,서울,9791175981812,517.52,517.52 류25콩,needs_info,low,,,
29,EM197614,000007281744,지적 대화를 위한 AI 언어 수업,강수진 지음,어웨이크(AWAKE),서울,9791199624979,004.73,004.73 강56지,needs_info,low,,,하네스 권고 번호(004.73)가 본표 발췌에 명시되어 있지 않아 표목 검증이 불가능하므로 confidence를 low로 설정함. 자관 분포에서 004.73이 73건으로 압도적 다수를 차지하여 해당 번호로 분류함.
30,EM197624,000007281745,관계의 그릇,이헌주 지음,위즈덤하우스,서울,9791175910621,189.2,189.2 이94관,ok,high,,,
31,EM197658,000007281746,부피의 계산에 대하여 1,지은이: 솔베이 발레 ;옮긴이: 손화수,은행나무,서울,9791167376589,859.81,859.81 발294부,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
32,EM197680,000007281747,아이를 위한 부모 인문학,김미영 글 ;진미경 그림,바이북스,서울,9791158774127,378.9,378.9 김38아,ok,high,,,
33,EM197456,000007281748,분투 없이 열리는 길은 없다,권태선 지음,책과함께,서울,9791124618004,070.4,070.4 권883분,ok,high,,,"앞선 분류 074.3은 북아메리카 지역구분으로 본 자료와 무관하여 반려됨. 하네스 권고 070.13과 070.19는 신문 중심의 표목으로 공영방송과 언론개혁을 다루는 본 자료에 부적합하여 본표의 070.4(저널리즘)로 분류함. 동일 저자의 전작 '진실에 복무하다'는 070.99로 분류되었으나, 본 자료는 저널리즘 전반과 공영방송의 제도적 독립성을 다루므로 자관 다수 분포인 070.4를 따름."
34,EM197476,000007281749,선악의 발명,지은이: 하노 자우어 ;옮긴이: 김태한,민음사,서울,9788937449482,190.109,190.109 자66선,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
35,EM197517,000007281750,"사라지는 돈, 살아남는 돈, 불어나는 돈",김효진 지음,페이지2(page2),서울,9791169852098,327.856,327.856 김95사,ok,high,,,앞선 분류 327.87(부동산투자)은 본서의 주제와 불일치하여 반려됨. 하네스 권고 327.856(주식투자)을 본표 및 자관 분포로 검증하여 최종 확정함.
36,EM197573,000007281751,세포를 재생하면 질병은 낫는다,조병식 지음,서울셀렉션,서울,9791189809973,512.57,512.57 조44세,ok,high,,,
37,EM197583,000007281752,작고 우아한 빛나는 얼굴 만들기 : 안티에이징 편,"지은이: 정한미,김종식,이도영,박효진,권수현,고혜림,김수형,박새미,배정민",진솔컴퍼니,서울,9791199694309,593.242,593.242 정92작,ok,high,,,
38,EM197591,000007281753,태교의 과학,저자 : 이승즈;저자 : 박숙희;,나이스에듀,,9791199663657,517.52,517.52 이57태,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
39,EM197629,000007281754,"그림책, 알수록 사랑하게 된다","서혜진,채송아 지음",나는별,성남,9791188574827,028,028 서94그,needs_info,low,,,앞선 분류 800(문학)은 그림책 읽기 안내서(비문학)에 부적절하여 반려됨. 하네스 권고 028이 주제에 부합하나 제공된 본표 발췌에 해당 번호가 없어 표목 미확인 처리함.
40,EM197659,000007281755,부피의 계산에 대하여 2,지은이: 솔베이 발레 ;옮긴이: 손화수,은행나무,서울,9791167376596,859.81,859.81 발294부,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
41,EM197737,000007281756,슈타지랜드,지은이: 애나 펀더 ;옮긴이: 서제인,생각의힘,서울,9791194880912,925.1,925.1 펀24슈,ok,high,,,하네스 권고 925.4는 KDC6 본표상 근세(1519-1815)에 해당하여 동독(20세기) 분류와 맞지 않음. 본표의 주기에 따라 925.1(독일 동부)로 분류함.
