출판사,해당 건수,등록번호,서명,"웹 후보(참고, 업종 불일치)",판권지 확인 발행지(사서 기입)
행성B(행성비),2,EM197484 EM197615,원니스 / 짧은 문장의 힘,소소행성(숙박>민박)=제주특별자치도 제주시 구좌읍 평대10길 97-32 ; 행성수피야(숙박>민박)=강원특별자치도 횡성군 우천면 경강로 3461,
생각의길,2,EM197741 EM197742,유럽 도시 기행 2 / 유럽 도시 기행 3,"생각의지도학원(교육,학문>학원 등 교습시설)=경기도 성남시 분당구 판교대장로8길 16 크라우드베이 5, 2층 209호 ; 생각의숲수풀림수학교습소(교습학원,교습소>수학교육)=경기도 고양시 덕양구 오부",
나이스에듀,1,EM197591,태교의 과학,"나이스 에듀넷(교육,학문>교육원,교육센터)=서울특별시 구로구 디지털로31길 12 ; 나이스에듀학원(교육,학문>교습학원,교습소)=경기도 평택시 경기대로 1371 4층 403~405호 ; 나이스가이 고",
느린서재,1,EM197725,평화로운 우리의 비건 식탁에 놀러 오세요,"제비서재(생활,편의>공방)=충청남도 아산시 도고면 아산만로 221 희온 ; 유연하서재(서비스,산업>출판사)=경기도 성남시 분당구 성남대로343번길 10-6 3층 352호",
메이애플,1,EM197608,로지쌤의 영어 그림책 정공법,,
멘토스,1,EM197610,요만큼만 알아도 미드가 엄청 재밌어진다!,"멘토스(컴퓨터프로그래밍,정보서비스업>소프트웨어개발)=서울특별시 구로구 디지털로31길 41 이앤씨벤처드림타워 6차 703호 ; 더멘토스(소프트웨어개발>솔루션개발)=경기도 화성시 동탄구 동탄대로 446",
더퀘스트,1,EM197465,미식의 교양,"더 케이브 서울(문화,예술>박람회,전시회)=서울특별시 중구 청계천로 24 케이스퀘어빌딩 지하 1층 ; 도서출판 길벗(출판사>서적출판)=서울특별시 마포구 월드컵로10길 56 ; 메탈헤드(컴퓨터프로그래",
리프,1,EM197682,애니가 남긴 것,"리프컵스(음식점>카페,디저트)=서울특별시 중구 서소문로 116 제지1층 제비104호 ; 리프커피(카페,디저트>카페)=서울특별시 중구 동호로 195-15 1층 리프커피 ; 오빌리프 애오개점(미용>미용",
빚은책들,1,EM197728,한눈에 읽는 오디세이,,
모두의도감,1,EM197603,일본 문구 대백과,,
싱긋,1,EM197722,코헨을 듣는 시간,"싱긋(도시락,컵밥>다이어트,샐러드)=전북특별자치도 전주시 덕진구 동가재미1길 24 1층 104호 ; 싱긋김치찌개(음식점>한식)=대전광역시 유성구 구즉로58번길 46 1층 싱긋김치찌개 ; 싱긋(컴퓨터",
성림원북스,1,EM197550,생각하는 청소년을 위한 생화학의 역사,,
와이즈베리,1,EM197554,아인슈타인이 알았더라면,,
용감한까치,1,EM197588,추추의 집밥 클래스,"용감한까치(서비스,산업>기업)=서울특별시 강서구 마곡중앙6로 45",
책깃,1,EM197689,여름,,
한국기독교연구소,1,EM197492,가장 거대한 악은 전쟁,"한국교회언론연구소(교육,학문>연구,연구소)=서울특별시 종로구 대학로 19 ; 한국장례연구소(장례>장례대행)=서울특별시 서대문구 세검정로 94-1 ; 한국장애인사역연구소(종교>개신교)=서울특별시 동작",
