순,등록번호,제어번호,서명,저자,출판사,발행지,ISBN,KDC,청구기호,상태,확신도,QA 지적,needs_info,메모
1,EM197453,000007281716,AI가 다 하고 내가 돈 버는 앱 만들기,서희찬 지음,길벗,서울,9791140718870,005.1,005.1 서97가,needs_info,low,,,
2,EM197456,000007281717,분투 없이 열리는 길은 없다,권태선 지음,책과함께,서울,9791124618004,070.42,070.42 권883분,ok,high,,,
3,EM197461,000007281718,나는 왜 베프가 없을까?,양곤성 글 ;현이지 그림,넥서스Friends,파주,9791124028797,189,189 양15나,needs_info,low,,국립중앙도서관 주제명표목표 확인 필요 / 189.2 세목 본표 확인 필요,
4,EM197463,000007281719,딱 ‘한 번 더’ 하면 인생이 달라진다,닉 베어 지음 ;김현정 옮김,비즈니스북스,서울,9791162544877,199.1,199.1 베64딱,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
5,EM197465,000007281720,미식의 교양,하마다 타케후미 지음 ;장민주 옮김,더퀘스트,,9791140719051,594.019,594.019 하32미,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
6,EM197467,000007281721,부처의 생각하지 않는 연습,코이케 류노스케 지음 ;양지윤 옮김,포레스트북스,,9791124591031,224.3,224.3 코69부,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,"저자기호 충돌(코68부, 기존 EM111740 부처의 말 : 그 행복이 깊다) → +1 조정"
7,EM197468,000007281722,사람 보는 눈이 없는 당신에게,궈즈리 지음 ;이지수 옮김,지니의서재,,9791194620365,189.2,189.2 궈77사,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
8,EM197470,000007281723,사춘기를 여행하는 중생의 안내서,지은이: 효록 ;그린이: 이지현,씨드북(주),서울,9791160518269,199.5,199.5 효295사,ok,high,,,
9,EM197471,000007281724,삶은 사유가 아니라 돌파다,레프 톨스토이 지음 ;이경희 옮김,페이지2(page2),서울,9791169852067,169.3,169.3 톨57삶,ok,high,,,앞선 분류 197(성윤리)은 주제와 무관하여 반려됨 / 하네스 권고 169.3(러시아철학 19·20세기)을 본표 발췌의 169 러시아철학으로 검증하여 적용 / 자관 소장 0건으로 첫 수집 자료임
10,EM197476,000007281725,선악의 발명,지은이: 하노 자우어 ;옮긴이: 김태한,민음사,서울,9788937449482,191.1,191.1 자66선,ok,high,,,
11,EM197478,000007281726,시작이 준비를 이긴다,존 프린스 지음 ;정지현 옮김,부키,서울,9791175780316,199,199 프298시,ok,high,,,
12,EM197484,000007281727,원니스,육현주 지음,행성B(행성비),,9791164713127,189,189 육94원,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
13,EM197488,000007281728,잘되는 사람의 뇌과학,사비나 브레넌 지음 ;유윤한 옮김,동아엠앤비,,9791163633525,189,189 브294잘,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
14,EM197492,000007281729,가장 거대한 악은 전쟁,크리스 헤지스 지음 ;김준우 옮김,한국기독교연구소,,9791193786178,349,349 헤78가,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,"동일 저자의 앞 책(미국의 미래)은 340.942로 분류되었으나, 이 책은 국제관계와 외교정책에 더 초점이 맞춰져 있어 349로 분류함."
15,EM197515,000007281730,부동산 전문 변호사의 경매 유치권 이렇게 쉬웠어?,이시훈 지음,지혜로,남양주,9791187799474,327.87,327.87 이58부,ok,high,,,
16,EM197517,000007281731,"사라지는 돈, 살아남는 돈, 불어나는 돈",김효진 지음,페이지2(page2),서울,9791169852098,327.83,327.83 김95사,ok,high,,,"하네스는 327.856을 권고했으나 KDC6 본표에 존재하지 않는 번호이므로, 주식투자에 해당하는 327.83으로 분류함. 자관 분포에 327.856이 다수 존재하나 본표에 없는 세목은 사용하지 않음."
17,EM197520,000007281732,상처받은 아이가 아름답다,이연숙 지음,미다스북스,서울,9791173559006,598.1,598.1 이64상,ok,high,,,
18,EM197525,000007281733,소우주,한승주 지음,메디치미디어,서울,9791157065745,818,818 한57소,ok,high,,,"앞선 분류 678(관악기)은 대중음악과 무관하여 반려됨. 하네스 권고 중 673.5(성악)는 음악 이론/역사서에 적합하나, 본서는 기자가 직접 체험한 문화 르포르타주이자 에세이이므로 818(르포르타주 및 기타)로 분류함. / 동일 저자의 전작 《당신이 사랑하는 동안에》는 813.6(한국 소설)로 분류되었으나, 본서는 소설이 아닌 르포르타주/에세이이므로 818로 분류함."
19,EM197535,000007281734,중국 AI 미래 지도,지은이: 임선영 ;일러스트: 정진호,책만,안양,9791124309148,321,321 임54중,ok,high,,,"동일 저자의 자관 소장 이전 자료(325.211 임54나)는 자기계발서이나, 본 자료는 중국 AI 산업·기술 분석서로 주제가 명확히 달라 분류를 달리함."
20,EM197537,000007281735,질서의 종말,로버트 D. 카플란 지음 ;이영래 옮김,한국경제신문,서울,9788947502818,349,349 카897질,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,"동일 저자의 이전 자료 '지리의 복수'는 340.98로 분류되었으나, 본 자료는 특정 지역의 지리적 분석보다는 국제 질서 전반과 외교·국제관계를 다루므로 349로 분류함."
21,EM197538,000007281736,책은 죽지 않는다 本は死なない,이시바시 다케후미 지음 ;[혜화1117] 편집부 옮김,혜화1117,서울,9791191133424,834,834 이58책,ok,high,,,
22,EM197539,000007281737,청소년과 함께하는 민주주의 이야기,최태현 지음,창비,파주,9788936452476,340,340 최883청,ok,high,,,"앞선 분류 343은 KDC6 본표에 표목이 배정되지 않은 빈 번호이므로 사용 불가. 하네스 권고 342는 국가론 중심일 때 적합하나, 이 책은 민주주의 역사·제도·실천을 고르게 다루어 340을 선택. / 자관 동일 저자 도서(818 최883행)는 한국문학 잡저로 주제 분야가 달라 분류 연동 불가."
23,EM197541,000007281738,콘크리트 유토피아,박해천 지음,워크룸프레스,서울,9791194232407,331.47,331.47 박93콘,needs_info,low,,,"앞선 분류 394(군사시설)는 주제와 무관하여 반려됨. 하네스 권고 331.47와 539.7 중 사회문화적 분석에 초점을 둔 331.47를 선택함. 자관 세목 분포 및 동일 저자 전작(331.47)을 고려하여 331.47로 분류하나, KDC6 본표 발췌에 331.47의 표목이 없어 표목 미확인 처리 및 confidence를 low로 설정함."
