순,등록번호,제어번호,서명,저자,출판사,발행지,ISBN,KDC,청구기호,상태,확신도,QA 지적,needs_info,메모
1,EM197457,000007281716,읽는 여성의 역사,지은이: 최현미,어크로스,서울,9791167743039,337,337 최94읽,ok,high,,,
2,EM197459,000007281717,거절의 기술,바네사 패트릭 지음 ;이주만 옮김,상상스퀘어,성남,9791124248409,189.2,189.2 패887거,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
3,EM197460,000007281718,나는 나다운 공간에서 살고 싶다,지은이: 오승욱 ;본문 일러스트: 말리북,다산초당,파주,9791130677552,814.7,814.7 오57나,ok,high,,,
4,EM197464,000007281719,마흔에 읽는 하이데거,지은이: 한상연,김영사,파주,9791173326523,165.84,165.84 한52마,ok,high,,,앞선 분류 104는 철학 표준구분 강연집·수필집에 해당하여 반려됨. 특정 철학자 해설서는 165.84로 분류함이 타당함.
5,EM197466,000007281720,부자들은 절대 속지 않는 돈의 함정,셰종보 지음 ;유주안 옮김,더페이지,고양,9791194156437,327.04,327.04 셰75부,ok,high,,,번역 정보 original_author_native를 웹 조사 결과에서 보충
6,EM197472,000007281721,삶의 불안을 잠재우는 노자의 말,노무라 소이치로 지음 ;류희 옮김,동양북스(동양문고),서울,9791172102104,152.222,152.222 노36삶,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
7,EM197477,000007281722,소원이 이루어지는 작은 호텔,안자나 길 지음 ;강영옥 옮김,비즈니스북스,서울,9791162544853,199,199,qa_failed,high,저자기호가 비어 있습니다.,저자기호: 저자명 '길'이 한 글자라 둘째 글자가 없습니다. 사서 확인이 필요합니다.,번역 정보 original_title를 웹 조사 결과에서 보충
8,EM197479,000007281723,"신, 인간, 동물, 기계",메건 오기블린 지음 ;최지숙 옮김,갈마바람,서울,9791191128093,180,180 오18신,needs_info,low,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충
9,EM197480,000007281724,아무것도 아닐 때 나는 무엇인가?,아브 네리야 지음 ;강희우 옮김,샨티,서울,9791192604435,199.1,199.1 네298아,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
10,EM197481,000007281725,어른이 되면 관계가 쉬워질 줄 알았는데,성유미 지음,오아시스,,9791168274709,189.2,189.2 성66어,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
11,EM197483,000007281726,운의 그릇,저자 : 사토 후미아키,다산북스,파주,9791130688770,199.1,199.1 사885운,ok,high,,,
12,EM197485,000007281727,위험 예찬,안 뒤푸르망텔 지음 ;이세진 옮김,사람in,,9791171012558,166.8,166.8 뒤896위,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
13,EM197487,000007281728,자신의 불안과 싸우지 말 것,페터 베르 지음 ;장혜경 옮김,갈매나무,서울,9791124226148,185.3,185.3 베297자,ok,high,,,
14,EM197489,000007281729,종교를 실험하다,조너선 종 지음 ;구형찬 옮김,바다출판사,서울,9791166894244,201,201,qa_failed,low,저자기호가 비어 있습니다.,201.1(종교철학의 각 분야) 본표 존재 여부 확인 필요 / 원서명 확인 필요 / 저자기호: 저자명 '종'이 한 글자라 둘째 글자가 없습니다. 사서 확인이 필요합니다.,번역 정보 original_title를 웹 조사 결과에서 보충
15,EM197491,000007281730,파이터의 마음 근육,김재겸 지음,지식과감성#,서울,9791139232134,692.8,692.8 김73파,ok,high,,,
16,EM197493,000007281731,길 위에서 바울을 보다,저자 : AL미니스트리,훈훈,시흥,9791199912908,233,233 미198길,ok,high,,,
17,EM197498,000007281732,신들은 생각하라고 말한다,키아라 파스토리니 글 ;앙쥐나 부탕 그림 ;권지현 옮김,탐,서울,9788964965542,219.21,219.21 파57신,ok,high,,,"하네스 권고(219)를 수용하되, 자관 세목 분포에서 219.21(그리스·로마신화)이 압도적 다수를 차지하여 세부 세목으로 적용함. 발췌에는 219까지만 명시되어 있으나 자관 실측 분포를 우선함."
18,EM197502,000007281733,"60세부터 90세까지, 현명하게 돈 쓰는 법",저자 : 오에 히데키,스마트비즈니스,서울,9791163431015,335,335 오64세,ok,high,,,"하네스 권고(327.04, 338.6)는 KDC6 본표에 존재하지 않는 세목이므로 배제함. 자관 분포의 327.04는 본표에 없는 세목이므로 표목이 틀린 번호를 정당화하는 근거로 사용하지 않음."
19,EM197503,000007281734,가미야마,"시노하라 다다시 지음 ;김경인,박우현,정석 옮김",오늘산책,광주,9791193703151,539,539 시195가,ok,high,,,
20,EM197504,000007281735,감정 채굴,저자 : 에바 일루즈;역자 : 최지수,돌베개,파주,9791124669020,331.5,331.5 일296감,needs_info,low,,,"번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충 / 자관 분포에 따라 동일 저자의 앞선 저작(감정 자본주의)과 동일한 331.5로 분류하였으나, 제공된 본표 발췌에 해당 세목의 표목이 없어 표목 미확인 처리 및 confidence를 low로 설정함."
21,EM197505,000007281736,고스팅,지은이: 도미닉 페트먼 ;옮긴이: 최리외,동녘,파주,9788972972143,331.1,331.1 페887고,ok,high,,,
22,EM197506,000007281737,공부나 하라고요? 세상이 이 모양인데?,토끼풀 글 ;방상호 그림,풀빛,서울,9791124589007,340,340 토18공,ok,high,,,
23,EM197508,000007281738,노력이 무기가 될 때,김현주 지음,청림Life,서울,9791193842775,378.9,378.9 김94노,ok,high,,,
24,EM197509,000007281739,"달러, 코인, 전쟁","고승연,이동현 지음",알에이치코리아(RHK),서울,9788925568522,327.2,327.2 고57달,ok,high,,,
25,EM197511,000007281740,리더의 옷은 생각보다 무거웠다,지은이: 이기웅,지식과감성#,서울,9791139233131,325.24,325.24 이18리,ok,high,,,"저자 이기웅은 자관에서 일본 문학 및 아동 도서 번역가로 다수 활동했으나, 본서는 저자가 직접 쓴 리더십 에세이이므로 325.24로 분류."
26,EM197512,000007281741,리더의 일은 맡기는 것이 전부다,이바 마사야스 지음 ;정혜원 옮김,비즈니스북스,서울,9791162544914,325.24,325.24 이42리,ok,high,,,"번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충 / 앞선 분류 325.211(개인의 성공)은 책의 주제와 맞지 않아 반려됨. 하네스 권고 325.24(조직관리)와 325.3 중 본표와 자관 분포에서 확인된 325.24를 채택함. / 동일 저자의 앞선 자료 '영업의 일류, 이류, 삼류'(2022)는 325.5에 분류되었으나, 본 자료는 영업이 아닌 리더십·위임에 관한 내용이므로 325.24로 분류함."
27,EM197513,000007281742,미국은 왜 전쟁에서 승리하지 못하는가,"도널드 스토커 지음 ;최진용,김영균 옮김",플래닛미디어,,9791124129029,390,390 스885미,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
28,EM197519,000007281743,상처를 끄는 존재들,수나우라 테일러 지음 ;송은주 옮김,오월의봄,파주,9791168731837,301,301 테68상,ok,high,,,"하네스 권고 338.9와 539.98은 KDC6 본표에 존재하지 않는 번호이므로 기각함. 539는 환경공학으로 본서의 인문사회과학적 비판이론 성격과 맞지 않음. 자관 분포는 338.3에 치우쳐 있으나, 338.3은 '장애인 복지'를 의미하여 본서의 '장애이론과 환경정의' 주제와 맞지 않으므로 본표에 근거한 301 사회사상으로 분류함."
29,EM197522,000007281744,성공의 배신,베른트 크라머 지음 ;이은미 옮김,추수밭(청림출판),서울,9791155402702,331.5,331.5 크292성,needs_info,low,,,
30,EM197523,000007281745,세계화는 어떻게 실패했는가,데이비드 J. 린치 지음 ;이혜진 옮김,21세기북스,파주,9791176610520,322.8,322.8 린86세,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충
31,EM197524,000007281746,센스 있는 생각에는 틀이 있다,"사토 마키,아사미 아야카 지음 ;조사연 옮김",알레,,9791141186784,325.571,325.571 사885센,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
32,EM197528,000007281747,우리는 어떤 나라를 원하는가,백승주 지음,북루덴스,성남,9791199522138,351.1219,351.1219 백57우,needs_info,low,,,"앞선 분류(300)는 자관 분포 미조회로 인한 오분류이며, 실제 자관에는 351.1219 등이 분포하고 있어 하네스 권고에 따라 351.1219로 분류함."
33,EM197529,000007281748,유대인 엄마의 경제 교육,사라 이마스 지음 ;임보미 옮김,빅마우스,파주,9791192556611,378.9,378.9 이32유,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,
34,EM197530,000007281749,육식의 종말,제러미 리프킨 지음 ;신현승 옮김,시공사,서울,9791171259427,381,381 리897육,needs_info,low,,"본표 발췌에 381.7 및 539.98 세목이 확인되지 않아 상위 요목인 381로 분류했으나, 실제 KDC6 본표에 해당 세목이 존재하는지 확인이 필요함.",
35,EM197534,000007281750,주인의 눈,마테오 파스퀴넬리 지음 ;김상민 옮김 ;이광석 해제,동녘,파주,9788972972150,331.5412,331.5412 파57주,ok,high,,,
36,EM197540,000007281751,최상위 합격을 만드는 시사 융합 탐구력,"한승배,하희,김수경,박유진,박영란,이선주,김민정 지음",포르체,서울,9791194634966,373,373 한57최,ok,high,,,
37,EM197543,000007281752,하이브리드 씽킹,정병익 지음,에피케,서울,9791199849952,189,189 정44하,ok,high,,,
38,EM197546,000007281753,기후위기는 어떻게 내 몸을 병들게 하는가,크리스티나 베른트 지음 ;추미란 옮김,동녘,파주,9788972972174,517,517 베297기,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
39,EM197547,000007281754,나 생명과학 좋아하나 봐,저자 : 이고은;삽화가(그림작가) : 신병근,세번째행성,,9791192585918,470,470 이15나,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,대상 자료실이 '성인'으로 표기되어 있으나 부가기호(44400)와 내용상 청소년 자료로 보임. 자료실 배치 확인 필요,"하네스 권고 번호(470.7)는 자관 세목 분포에 없어 배제하고, 동일 저자의 유사 주제 도서가 분류된 470을 따름."
40,EM197549,000007281755,새들의 세계,지은이: 마이크 언윈 ;옮긴이: 조은영 ;그림: 류토 미야케,시공사,서울,9791171259410,498,498 언66새,ok,high,,,"하네스 권고 496.7은 척삭동물로 너무 포괄적이며, 본표 발췌에 조류(498)가 명시되어 있으므로 498을 부여함."
41,EM197552,000007281756,수학자의 생각 수업,주하오난 지음 ;이지수 옮김,미디어숲,서울,9791158749286,410.1,410.1 주92수,ok,high,,,
42,EM197553,000007281757,식물은 어떻게 느끼고 행동하고 기억하는가,곽준명 지음,현대지성,서울,9791139733266,481.1,481.1 곽76식,ok,high,,,
43,EM197555,000007281758,자연 본능,지은이: 트리스탄 굴리 ;일러스트: 닐 가워 ;옮긴이: 김지원,바다출판사,서울,9791166894268,699.104,699.104 굴298자,needs_info,low,,,번역 정보 original_title를 웹 조사 결과에서 보충 / 앞선 분류 400은 대분류만 부여되어 세목 누락(경고)으로 반려됨 / 동일 저자의 앞선 도서 『산책자를 위한 자연수업』이 자관에서 699.104로 분류되어 있어 동일 강목 따름 / 본표 발췌가 간략판이라 699.104 세목 표목 직접 확인 불가 — confidence low
44,EM197559,000007281759,화성에 도시를 세운다면,"잭 와이너스미스,켈리 와이너스미스 지음 ;지웅배 옮김",알에이치코리아(RHK),서울,9788925569284,440,440 와68화,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
45,EM197560,000007281760,(좋든 싫든) 성수론,"권혜인,김세훈,김정혜,김유빈,김현수,소정호,양지슬,유선진,이다은,이민수,한지수 지음",책사람집,,9791194140160,331.47,331.47 권94좋,qa_failed,low,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
46,EM197564,000007281761,갱선생의 기적의 다이어트,갱선생 지음,모티브,,9791124370636,517.52,517.52 갱54갱,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
47,EM197565,000007281762,결국 부모는 믿어주는 사람,이승철 지음,길벗,서울,9791140719020,598.1,598.1 이57결,ok,high,,,"자관 내 동일 저자의 기존 도서(811.609, 410)는 시집·수학 분야로 주제 분야가 달라 분류 참고 자료로 활용하지 않음."
48,EM197566,000007281763,기질 양육의 뇌과학,"릴리아나 렝구아,마리아 가르스틴 지음 ;박정은 옮김",현대지성,서울,9791139732238,598.1,598.1 렝16기,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,
49,EM197571,000007281764,몸으로 마음을 다스리는 셀프 리셋,지은이: 오누마 다쓰야 ;옮긴이: 안선주,바디앤마인드,성남,9788957695128,185.3,185.3 오196몸,ok,high,,,
50,EM197574,000007281765,스포츠의학으로 읽는 목과 어깨,이동진 지음,현익출판,서울,9791194793700,517.89,517.89 이25스,ok,high,,,"동일 저자 이동진의 기존 자료(채식주의가 병을 부른다 등)는 594(식생활) 등에 분류되었으나, 본 자료는 스포츠의학 및 재활에 관한 전문 서적이므로 주제에 따라 517.89로 분류함."
51,EM197576,000007281766,암을 이겨내는 사람들의 비밀,"문용화,김슬기 지음",비타북스,서울,9791158464646,513.9,513.9 문65암,ok,high,,,
